pc16,cmd,name,cmd_byte,param,byte1,byte2,format
0x099f,cmd00,cmd00_write_param16_to_reg16,0,11205,197,43,cmd00_write_param16_to_reg16(/*param16*/ 0x2bc5)
0x09a2,cmd23,cmd23_noop,46,-1,-1,-1,cmd23_noop()
0x09a3,cmd12,cmd12_goto,24,3208,136,12,cmd12_goto(/*addr16*/ 0x0c88)
0x09a6,cmd00,cmdl00_write_param16_to_reg16,1,13235,179,51,cmdl00_write_param16_to_reg16(/*param16*/ 0x33b3)
0x09a9,cmd06,cmd06_check_reg16_is_param16,12,3,3,0,cmd06_check_reg16_is_param16(/*param16*/ 0x0003)
0x09ac,cmd13,cmd13_beq,26,2552,248,9,cmd13_beq(/*addr16*/ 0x09f8)
0x09af,cmd06,cmd06_check_reg16_is_param16,12,2,2,0,cmd06_check_reg16_is_param16(/*param16*/ 0x0002)
0x09b2,cmd13,cmd13_beq,26,2552,248,9,cmd13_beq(/*addr16*/ 0x09f8)
0x09b5,cmd06,cmd06_check_reg16_is_param16,12,6,6,0,cmd06_check_reg16_is_param16(/*param16*/ 0x0006)
0x09b8,cmd13,cmd13_beq,26,2521,217,9,cmd13_beq(/*addr16*/ 0x09d9)
0x09bb,cmd06,cmd06_check_reg16_is_param16,12,5,5,0,cmd06_check_reg16_is_param16(/*param16*/ 0x0005)
0x09be,cmd13,cmd13_beq,26,2528,224,9,cmd13_beq(/*addr16*/ 0x09e0)
0x09c1,cmd06,cmd06_check_reg16_is_param16,12,7,7,0,cmd06_check_reg16_is_param16(/*param16*/ 0x0007)
0x09c4,cmd13,cmd13_beq,26,2535,231,9,cmd13_beq(/*addr16*/ 0x09e7)
0x09c7,cmd06,cmd06_check_reg16_is_param16,12,9,9,0,cmd06_check_reg16_is_param16(/*param16*/ 0x0009)
0x09ca,cmd13,cmd13_beq,26,2545,241,9,cmd13_beq(/*addr16*/ 0x09f1)
0x09cd,cmd06,cmd06_check_reg16_is_param16,12,11,11,0,cmd06_check_reg16_is_param16(/*param16*/ 0x000b)
0x09d0,cmd13,cmd13_beq,26,2588,28,10,cmd13_beq(/*addr16*/ 0x0a1c)
0x09d3,cmd00,cmd00_write_param16_to_reg16,0,5,5,0,cmd00_write_param16_to_reg16(/*param16*/ 0x0005)
0x09d6,cmd12,cmd12_goto,24,2457,153,9,cmd12_goto(/*addr16*/ 0x0999)
0x09d9,cmd00,cmd00_write_param16_to_reg16,0,11714,194,45,cmd00_write_param16_to_reg16(/*param16*/ 0x2dc2)
0x09dc,cmd23,cmd23_noop,46,-1,-1,-1,cmd23_noop()
0x09dd,cmd12,cmd12_goto,24,2403,99,9,cmd12_goto(/*addr16*/ 0x0963)
0x09e0,cmd00,cmd00_write_param16_to_reg16,0,10902,150,42,cmd00_write_param16_to_reg16(/*param16*/ 0x2a96)
0x09e3,cmd23,cmd23_noop,46,-1,-1,-1,cmd23_noop()
0x09e4,cmd12,cmd12_goto,24,3208,136,12,cmd12_goto(/*addr16*/ 0x0c88)
0x09e7,cmd00,cmd00_write_param16_to_reg16,0,12018,242,46,cmd00_write_param16_to_reg16(/*param16*/ 0x2ef2)
0x09ea,cmd23,cmd23_noop,46,-1,-1,-1,cmd23_noop()
0x09eb,cmd15,cmd15_stack_preserve_call,30,2825,9,11,cmd15_stack_preserve_call(/*addr16*/ 0x0b09)
0x09ee,cmd12,cmd12_goto,24,2403,99,9,cmd12_goto(/*addr16*/ 0x0963)
0x09f1,cmd00,cmd00_write_param16_to_reg16,0,11425,161,44,cmd00_write_param16_to_reg16(/*param16*/ 0x2ca1)
0x09f4,cmd23,cmd23_noop,46,-1,-1,-1,cmd23_noop()
0x09f5,cmd12,cmd12_goto,24,3208,136,12,cmd12_goto(/*addr16*/ 0x0c88)
0x09f8,cmd00,cmd00_write_param16_to_reg16,0,12225,193,47,cmd00_write_param16_to_reg16(/*param16*/ 0x2fc1)
0x09fb,cmd23,cmd23_noop,46,-1,-1,-1,cmd23_noop()
0x09fc,cmd00,cmdl00_write_param16_to_reg16,1,13257,201,51,cmdl00_write_param16_to_reg16(/*param16*/ 0x33c9)
0x09ff,cmd06,cmd06_check_reg16_is_param16,12,0,0,0,cmd06_check_reg16_is_param16(/*param16*/ 0x0000)
0x0a02,cmd14,cmd14_bne,28,2572,12,10,cmd14_bne(/*addr16*/ 0x0a0c)
0x0a05,cmd00,cmd00_write_param16_to_reg16,0,11891,115,46,cmd00_write_param16_to_reg16(/*param16*/ 0x2e73)
0x0a08,cmd23,cmd23_noop,46,-1,-1,-1,cmd23_noop()
0x0a09,cmd12,cmd12_goto,24,3208,136,12,cmd12_goto(/*addr16*/ 0x0c88)
0x0a0c,cmd00,cmdl00_write_param16_to_reg16,1,13235,179,51,cmdl00_write_param16_to_reg16(/*param16*/ 0x33b3)
0x0a0f,cmd06,cmd06_check_reg16_is_param16,12,3,3,0,cmd06_check_reg16_is_param16(/*param16*/ 0x0003)
0x0a12,cmd13,cmd13_beq,26,2595,35,10,cmd13_beq(/*addr16*/ 0x0a23)
0x0a15,cmd00,cmd00_write_param16_to_reg16,0,11891,115,46,cmd00_write_param16_to_reg16(/*param16*/ 0x2e73)
0x0a18,cmd23,cmd23_noop,46,-1,-1,-1,cmd23_noop()
0x0a19,cmd12,cmd12_goto,24,3208,136,12,cmd12_goto(/*addr16*/ 0x0c88)
0x0a1c,cmd00,cmd00_write_param16_to_reg16,0,12261,229,47,cmd00_write_param16_to_reg16(/*param16*/ 0x2fe5)
0x0a1f,cmd23,cmd23_noop,46,-1,-1,-1,cmd23_noop()
0x0a20,cmd12,cmd12_goto,24,3208,136,12,cmd12_goto(/*addr16*/ 0x0c88)
0x0a23,cmd00,cmd00_write_param16_to_reg16,0,11580,60,45,cmd00_write_param16_to_reg16(/*param16*/ 0x2d3c)
0x0a26,cmd23,cmd23_noop,46,-1,-1,-1,cmd23_noop()
0x0a27,cmd00,cmd00_write_param16_to_reg16,0,11868,92,46,cmd00_write_param16_to_reg16(/*param16*/ 0x2e5c)
0x0a2a,cmd23,cmd23_noop,46,-1,-1,-1,cmd23_noop()
0x0a2b,cmd19,cmd19_issue_new_frame,38,-1,-1,-1,cmd19_issue_new_frame()
0x0a2c,cmd20,cmd20_read_joypad_input_and_set_to_reg16,40,-1,-1,-1,cmd20_read_joypad_input_and_set_to_reg16()
0x0a2d,cmd06,cmd06_check_reg16_is_param16,12,0,0,0,cmd06_check_reg16_is_param16(/*param16*/ 0x0000)
0x0a30,cmd14,cmd14_bne,28,2603,43,10,cmd14_bne(/*addr16*/ 0x0a2b)
0x0a33,cmd19,cmd19_issue_new_frame,38,-1,-1,-1,cmd19_issue_new_frame()
0x0a34,cmd19,cmd19_issue_new_frame,38,-1,-1,-1,cmd19_issue_new_frame()
0x0a35,cmd19,cmd19_issue_new_frame,38,-1,-1,-1,cmd19_issue_new_frame()
0x0a36,cmd15,cmd15_stack_preserve_call,30,2696,136,10,cmd15_stack_preserve_call(/*addr16*/ 0x0a88)
